ID,Category,Strata,German name,English name,Latin name,Purpose,Hardiness zones,End height m,Lifespan years,"Expected annual calories (kcal/plant, mature)",Recommended spacing,Typical share %,
T01,Tree,Emergent canopy,Walnuss,Walnut,Juglans regia,Nut tree calories; timber,7a;7b;8a,20-25,80-200,120000 – 400000,10-12 m,5-10,
T02,Tree,Emergent canopy,Herznuss,Heartnut,Juglans ailantifolia var. cordiformis,Nut tree calories,7a;7b;8a,12-18,60-120,65000 – 260000,8-10 m,5-10,
T03,Tree,Emergent canopy,Edelkastanie,Sweet chestnut,Castanea sativa,Nut tree calories; timber,7a;7b;8a,15-25,80-200,40000 – 150000,8-12 m,5-10,
T04,Tree,Emergent canopy,Stieleiche,Pedunculate oak,Quercus robur,Support; acorns processed; timber,7a;7b;8a,20-30,200-400,0,10-12 m,0-5,
T05,Tree,High canopy,Robinie/Scheinakazie,Black locust,Robinia pseudoacacia,Nitrogen fixer; biomass; windbreak,7a;7b;8a,12-20,60-100,0,5-7 m,15-25,
T06,Tree,High canopy,Erle,Alder,Alnus glutinosa,Nitrogen fixer; biomass; riparian,7a;7b;8a,15-22,40-80,0,5-7 m,10-20,
T07,Tree,High canopy,Feldahorn,Field maple,Acer campestre,Windbreak; structure; biomass,7a;7b;8a,10-15,60-120,0,4-6 m,5-10,
T08,Tree,High canopy,Hainbuche,Hornbeam,Carpinus betulus,Windbreak; coppice biomass,7a;7b;8a,10-20,80-150,0,4-6 m,5-10,
T09,Tree,Emergent canopy,Pappel Hybrid,Hybrid poplar,Populus × (hybrids),Biomass; windbreak; fast shelter,7a;7b;8a,20-30,30-60,0,6-8 m,5-10,
T10,Tree,Medium tree,Weide,Willow,Salix spp.,Biomass; living stakes,7a;7b;8a,8-15,30-50,0,5-6 m,0-5,
T11,Tree,Medium tree,Apfel (Halbstamm),Apple (semi-standard),Malus domestica,Fruit tree calories; storage,7a;7b;8a,5-7,25-40,15000 – 60000,6-7 m,20-40,
T12,Tree,Medium tree,Birne (Halbstamm),Pear (semi-standard),Pyrus communis,Fruit tree calories; storage,7a;7b;8a,6-8,30-60,17000 – 57000,6-7 m,10-20,
T13,Tree,Low/medium tree,Pflaume/Zwetschge,Plum/Damson,Prunus domestica,Fruit tree calories for drying/canning,7a;7b;8a,4-6,20-40,9000 – 37000,5-6 m,10-20,
T14,Tree,Low/medium tree,Sauerkirsche,Sour cherry,Prunus cerasus,Fruit tree calories; preserves,7a;7b;8a,4-6,20-30,9500 – 31500,4-6 m,5-15,
T15,Tree,Medium tree,Süßkirsche,Sweet cherry,Prunus avium,Fruit tree calories,7a;7b;8a,6-10,30-50,6000 – 25000,6-8 m,5-10,
T16,Tree,High canopy,Maulbeere,Black/White mulberry,Morus alba/nigra,High-sugar fruit calories; fodder,7a;7b;8a,8-12,50-100,21500 – 65000,6-8 m,5-10,
T17,Tree,Medium tree,Persimone/Kaki (harte Sorten),Hardy persimmon (hybrids),Diospyros kaki; Diospyros virginiana × D. kaki,High-sugar fruit calories (late),7a;7b;8a,6-10,50-75,14000 – 42000,6-8 m,3-8,
T18,Tree,Low/medium tree,Quitte,Quince,Cydonia oblonga,Culinary fruit,7a;7b;8a,4-6,30-50,11000 – 34000,4-5 m,3-8,
T19,Tree,Low/medium tree,Mispel,Medlar,Mespilus germanica,Late fruit after bletting,7a;7b;8a,4-6,30-60,4400 – 17600,4-5 m,3-8,
T20,Tree,Medium tree,Kornelkirsche,Cornelian cherry,Cornus mas,Fruit; early nectar; hedge tree,7a;7b;8a,4-7,50-80,10000 – 25000,4-5 m,3-8,
T21,Tree,Low/medium tree,Felsenbirne,Saskatoon/Serviceberry,Amelanchier alnifolia,Fruit calories; early bloom,7a;7b;8a,3-5,30-50,6000 – 18000,3-4 m,3-8,
T22,Tree,Medium tree,Holunder (Baumform),Elder (tree form),Sambucus nigra,Berries; insectary,7a;7b;8a,4-7,20-30,7300 – 36500,4-5 m,3-8,
T23,Tree,Low/medium tree,Pawpaw,Pawpaw,Asimina triloba,Fruit tree calories (custard fruit),7a;7b;8a,3-8,30-60,8000 – 20000,4-5 m,3-8,
T24,Tree,Medium/High tree,Speierling,Service tree,Sorbus domestica,Fruit for cider/culinary; timber,7a;7b;8a,10-15,80-150,18000 – 60000,8-10 m,1-3,
T25,Tree,Low tree,Feige (harte Sorte),Fig (hardy cultivar),Ficus carica,High-sugar fruit calories (sheltered),7b;8a,3-5,20-40,14800 – 44400,3-4 m,1-3,
T26,Tree,Emergent canopy,Hickory Schindel-Hickory,Shagbark hickory,Carya ovata,Nut tree calories; timber,7a;7b;8a,20-25,100-200,65700 – 197000,10-12 m,3-5,
T27,Tree,Emergent canopy,Schwarznuss,Black walnut,Juglans nigra,Nut tree calories; timber,7a;7b;8a,20-25,100-200,65400 – 262000,12-14 m,3-5,
T28,Tree,High canopy,Zirbelkiefer,Swiss stone pine,Pinus cembra,Edible pine nuts; windbreak,7a;7b,10-20,100-300,3400 – 33600,6-8 m,1-3,
T29,Tree,Emergent canopy,Steinpinie,Stone pine,Pinus pinea,Edible pine nuts; microclimate specialty,8a,15-25,80-200,13500 – 67000,8-10 m,1-3,
T30,Tree,High canopy,Steineiche,Holm oak,Quercus ilex,Evergreen windbreak; acorns processed,7a;7b;8a,15-20,200+,0,6-8 m,1-3,
T31,Tree,Emergent canopy,Buche,European beech,Fagus sylvatica,Windbreak; mulch; wildlife,7a;7b;8a,20-30,200+,11500 – 57600,8-10 m,1-3,
T32,Tree,High canopy,Winterlinde,Small-leaved lime,Tilia cordata,Pollinators; leaf fodder; biomass,7a;7b;8a,20-25,200+,0,6-8 m,3-5,
T33,Tree,High canopy,Italienische Erle,Italian alder,Alnus cordata,Nitrogen fixer; fast support,7a;7b;8a,10-15,40-80,0,5-7 m,5-10,
T34,Tree,High canopy,Blauglockenbaum,Empress tree,Paulownia tomentosa,Fast biomass; coppice,7a;7b;8a,10-20,30-60,0,5-6 m,1-3,
T35,Tree,Medium/High tree,Mostbirne,Perry pear,Pyrus communis perry types,Juice/cider calories; durable tree,7a;7b;8a,10-15,80-150,28500 – 114000,7-8 m,3-5,
T36,Tree,Low/medium tree,Jujube Chinesische Dattel,Jujube,Ziziphus jujuba,High-sugar fruit; drought hardy,7a;7b;8a,4-8,50-100,7900 – 31600,4-5 m,1-3,
T37,Tree,Low/medium tree,Mandel,Almond,Prunus dulcis,Fat-rich nuts; warm microclimate,7b;8a,4-6,30-50,46000 – 116000,4-5 m,1-3,
T38,Tree,Medium tree,Eberesche,Rowan,Sorbus aucuparia,Processed fruit; wildlife; windbreak,7a;7b;8a,8-12,60-100,5000 – 20000,4-6 m,1-3,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Emergent canopy,pekan?,,,,,,,,,,
,,,Szechuan Pfeffer,,,,,2.5 – 4.5m,,,,,
,,,Sprossender Zwergginster,,,,,,,,,,
,,,Pistazie (kermann),,,,,,,,,,
,,,,,,,9,,,,,,
,,,,,,,,,,,,,
,,,Kleinblättriger Eukalyptusbaum Enjoy,,,,,,,,,,
,,,Olive,,,,,,,,,,
,,,Blaugurke,,,,,,,,,,
,,,,,,,,,,,,,
S01,Shrub,Shrub layer,Haselnuss,Hazelnut,Corylus avellana,Nut shrub calories; hedge,7a;7b;8a,3-5,40-80,6000 – 31000,2-3 m,10-25,
S02,Shrub,Shrub layer,Sanddorn,Sea buckthorn,Hippophae rhamnoides,Nitrogen fixer; oily berries; hedge,7a;7b;8a,2-4,20-30,8200 – 24600,2-2.5 m,10-20,
S03,Shrub,Shrub layer,Schwarze Johannisbeere,Blackcurrant,Ribes nigrum,Berries; shade tolerant,7a;7b;8a,1-1.5,10-15,1900 – 3150,1.5-2 m,10-20,
S04,Shrub,Shrub layer,Rote/Weiße Johannisbeere,Red/White currant,Ribes rubrum,Berries; hedge understory,7a;7b;8a,1-1.5,10-15,1100 – 2200,1.5-2 m,10-20,
S05,Shrub,Shrub layer,Stachelbeere,Gooseberry,Ribes uva-crispa,Berries; cool sites,7a;7b;8a,1-1.2,10-20,880 – 2200,1.2-1.5 m,5-10,
S06,Shrub,Shrub layer,Jostabeere,Jostaberry,Ribes × nidigrolaria,Berries; vigorous; disease-tolerant,7a;7b;8a,1.5-2,15-20,2200 – 4400,1.8-2 m,5-10,
S07,Shrub,Shrub layer,Himbeere,Raspberry,Rubus idaeus,Berries; trellis canes,7a;7b;8a,1.5-2.5,8-15,780 – 1560,0.5-0.6 m in-row,5-10,
S08,Shrub,Shrub layer,Brombeere,Blackberry,Rubus fruticosus agg.,Berries; trellis,7a;7b;8a,2-3,15-20,1290 – 2580,1-2 m in-row,5-10,
S09,Shrub,Shrub layer,Apfelbeere,Aronia,Aronia melanocarpa,Berries for juice/drying; hardy,7a;7b;8a,2-3,20-40,2350 – 4700,1.5-2 m,5-10,
S10,Shrub,Shrub layer,Rosa rugosa,Rugosa rose,Rosa rugosa,Hips; hedge/wind,7a;7b;8a,1-2,20-40,1600 – 4900,1.5-2 m,5-10,
S11,Shrub,Shrub layer,Erbsenstrauch,Siberian pea shrub,Caragana arborescens,Nitrogen fixer; shelterbelt,7a;7b;8a,3-5,30-50,0,2-3 m,5-15,
S12,Shrub,Shrub layer,Herbstolive,Autumn olive,Elaeagnus umbellata,Nitrogen fixer; edible berries,7a;7b;8a,2-4,20-40,2500 – 7500,2-3 m,3-8,
S13,Shrub,Shrub layer,Goumi / ÖLWEIDE,Cherry silverberry,Elaeagnus multiflora,Nitrogen fixer; edible berries,7a;7b;8a,2-3,20-40,1600 – 4200,2-2.5 m,3-8,
S14,Shrub,Shrub layer,Kulturheidelbeere,Highbush blueberry,Vaccinium corymbosum,Berries (acid bed),7a;7b;8a,1.5-2,20-30,1700 – 4000,1-1.2 m,3-8,
S15,Shrub,Shrub layer,Schlehe,Blackthorn (sloe),Prunus spinosa,Berries; wildlife hedge,7a;7b;8a,3-5,20-40,4600 – 13800,2-3 m,3-8,
S16,Shrub,Shrub layer,Weißdorn,Hawthorn,Crataegus monogyna,Insectary; wildlife; edible haws,7a;7b;8a,3-6,60-150,5000 – 20000,2-3 m,3-8,
S17,Shrub,Shrub layer,Holunder (Strauchform),Elder (multi-stem),Sambucus nigra,Berries; insectary,7a;7b;8a,3-5,20-30,7300 – 21900,2-3 m,3-8,
S18,Shrub,Shrub layer,Felsenbirne (Strauchform),Serviceberry (shrub),Amelanchier alnifolia,Berries; early bloom,7a;7b;8a,3-4,20-40,3000 – 6000,2-3 m,3-8,
S19,Shrub,Shrub layer,Kornelkirsche (Strauchform),Cornelian cherry (shrub),Cornus mas,Berries; hedge,7a;7b;8a,3-5,40-60,7500 – 20000,2-3 m,3-8,
S20,Shrub,Shrub layer,Schneeball,Guelder rose,Viburnum opulus,Berries processed; insectary,7a;7b;8a,3-4,20-40,2500 – 7500,2-3 m,3-8,
S21,Shrub,Shrub layer,Säulen-Johannisbeere,Columnar currant,Ribes sp. columnar cultivars,Berries; narrow form,7a;7b;8a,1.5-2,8-12,1100 – 2200,1-1.5 m,3-8,
S22,Shrub,Shrub layer,Wilde Rose,Wild rose (dog rose),Rosa canina,Hips; wildlife,7a;7b;8a,2-3,20-40,1600 – 4900,2-3 m,3-8,
S23,Shrub,Shrub layer,Honigbeere Maibeere,Honeyberry,Lonicera caerulea,Very early berries; hardy,7a;7b;8a,1-1.5,20+,500 – 1500,1-1.5 m,3-8,
S24,Shrub,Shrub layer,Nanking-Kirsche,Nanking cherry,Prunus tomentosa,Early fruit; hedge edge,7a;7b;8a,2-3,20-30,3150 – 6300,1.5-2 m,3-8,
S25,Shrub,Shrub layer,Japanische Quitte,Japanese quince,Chaenomeles japonica; Chaenomeles speciosa,Aromatic fruit; tough hedge,7a;7b;8a,1-2(3),30-50,2850 – 11400,1-1.5 m,3-8,
S26,Shrub,Shrub layer,Goji-Beere,Goji berry,Lycium barbarum,Nutrient-rich berries; trellis,7a;7b;8a,2-3,15-25,700 – 1750,1-2 m,1-3,
S27,Shrub,Shrub layer,Silberbüffelbeere,Buffaloberry,Shepherdia argentea,Nitrogen fixer; edible berries,7a;7b;8a,2-4,20-40,2500 – 7500,2-3 m,3-8,
S28,Shrub,Shrub layer,Ebbinge-Ölweide,Ebbinge’s silverberry,Elaeagnus × ebbingei,Evergreen N-fixer; edible fruit warm,7b;8a,2-4,20-40,1800 – 6000,1.5-2.5 m,1-3,
S29,Shrub,Shrub layer,Preiselbeere,Lingonberry,Vaccinium vitis-idaea,Edible groundcover (acid bed),7a;7b;8a,0.2-0.4,10-20,100 – 250,0.3-0.4 m,3-8,
S30,Shrub,Shrub layer,Japanische Weinbeere,Japanese wineberry,Rubus phoenicolasius,Tasty berries; trellis; manage spread,7a;7b;8a,2-3,10-20,860 – 2150,1-2 m,1-3,
S31,Shrub,Shrub layer,Mispel-Hecke,Medlar hedge,Mespilus germanica,Late fruit; hedge element,7a;7b;8a,3-4,30-60,4400 – 13200,2.5-3 m,1-3,
,,,,,,,,,,,,,
P01,Perennial,Climber/liana,Weinrebe,Grapevine,Vitis vinifera,Vine fruit calories; trellis,7a;7b;8a,2-3 trellis height,30-60,2100 – 4100,1.2-1.5 m,5-15,
P02,Perennial,Climber/liana,Winterharte Kiwi,Hardy kiwi,Actinidia arguta,Vine fruit calories; trellis,7a;7b;8a,6-10,30-50,6100 – 18300,3-4 m,1-3,
P03,Perennial,Climber/liana,Hopfen,Hops,Humulus lupulus,Biomass; edible shoots; insectary,7a;7b;8a,4-7,20-30,0,0.7-1 m,1-3,
P04,Perennial,Climber/liana,Indianerbohne,Groundnut,Apios americana,Vine; protein-rich tubers,7a;7b;8a,3-5,10-20,600 – 2200,0.5-1 m rhizome spacing,1-3,
P05,Perennial,Tall herb geophyte,Topinambur,Jerusalem artichoke,Helianthus tuberosus,Starchy tubers calories,7a;7b;8a,2-3,10-20,760 – 2280,0.4-0.5 m,3-8,
P06,Perennial,Tall herb geophyte,Skirret,Zuckermöhre,Sium sisarum,Starchy roots calories,7a;7b;8a,0.8-1.2,5-10,240 – 800,0.3-0.4 m,1-3,
P07,Perennial,Herb geophyte,Chinesische Artischocke,Chinese artichoke,Stachys affinis,Starchy tubers calories,7a;7b;8a,0.3-0.6,5-10,130 – 390,0.3-0.4 m,1-3,
P08,Perennial,Tall herb,Spargel,Asparagus,Asparagus officinalis,Perennial vegetable; early spears,7a;7b;8a,1-2,15-25,100 – 200,0.3-0.4 m in-row; Reihen 1.5 m,1-3,
P09,Perennial,Tall herb,Rhabarber,Rhubarb,Rheum × hybridum,Perennial stems; preserves,7a;7b;8a,0.7-1.0,10-20,420 – 1050,0.8-1.0 m,1-3,
P10,Perennial,Tall herb,Ausdauernder Kohl,Perennial kale,Brassica oleracea perennial forms,Perennial greens; winter harvest,7a;7b;8a,0.8-1.2,3-5,350 – 1050,0.6-0.8 m,1-3,
P11,Perennial,Tall herb,Meerkohl,Sea kale,Crambe maritima,Perennial shoots/leaves,7a;7b;8a,0.4-0.8,10-15,320 – 640,0.6-0.8 m,1-3,
P12,Perennial,Tall herb,Babington-Lauch,Babington’s leek,Allium ampeloprasum group,Perennial allium bulbs/scapes,7a;7b;8a,0.7-1.2,10-20,200 – 600,0.25-0.3 m,1-3,
P13,Perennial,Herb,Winterzwiebel,Welsh onion,Allium fistulosum,Perennial allium scallions,7a;7b;8a,0.3-0.6,5-10,96 – 320,0.25-0.3 m,1-3,
P14,Perennial,Herb,Schnittknoblauch,Garlic chives,Allium tuberosum,Perennial allium leaves/flowers,7a;7b;8a,0.3-0.5,10-20,150 – 450,0.25-0.3 m,1-3,
P15,Perennial,Herb geophyte,Meerrettich,Horseradish,Armoracia rusticana,Root crop condiment vigorous,7a;7b;8a,0.6-1.0,10-20,240 – 960,0.5-0.7 m,1-3,
P16,Perennial,Tall herb,Beinwell,Comfrey ‘Bocking’,Symphytum × uplandicum,Biomass chop-and-drop,7a;7b;8a,0.8-1.2,10-20,0,1.0-1.5 m,10-20,
P17,Perennial,Herb,Luzerne,Alfalfa,Medicago sativa,Perennial N-fixer deep root,7a;7b;8a,0.8-1.2,3-6,0,Saat 20–30 cm Drill,5-15,
P18,Perennial,Groundcover,Weißklee,White clover,Trifolium repens,Living mulch N-fixer,7a;7b;8a,0.1-0.2,3-5,0,Breitwurf Saat 5–10 kg/ha,10-20,
P19,Perennial,Herb,Rotklee,Red clover,Trifolium pratense,N-fixer nectar source,7a;7b;8a,0.3-0.6,2-3,0,Breitwurf/Drill,5-15,
P20,Perennial,Herb,Lupine,Lupine,Lupinus polyphyllus,N-fixer pollinator,7a;7b;8a,0.6-1.2,3-5,0,0.3-0.5 m,3-8,
P21,Perennial,Herb,Schafgarbe,Yarrow,Achillea millefolium,Insectary drought tolerant,7a;7b;8a,0.3-0.6,10-20,0,0.3-0.5 m,3-8,
P22,Perennial,Groundcover,Erdbeere,Strawberry,Fragaria × ananassa,Edible groundcover berries,7a;7b;8a,0.1-0.2,3-5,96 – 256,0.3-0.4 m,5-10,
P23,Perennial,Groundcover,Thymian kriechend,Creeping thyme,Thymus serpyllum,Groundcover insectary,7a;7b;8a,0.05-0.15,5-10,0,0.2-0.3 m,3-8,
P24,Perennial,Groundcover,Günsel,Ajuga (bugle),Ajuga reptans,Groundcover shade tolerant,7a;7b;8a,0.1-0.2,5-10,0,0.25-0.3 m,3-8,
P25,Perennial,Herb,Oregano,Oregano,Origanum vulgare,Insectary culinary herb,7a;7b;8a,0.2-0.4,5-10,0,0.3-0.4 m,3-8,
P26,Perennial,Tall emergent wetland,Rohrkolben,Broadleaf cattail,Typha latifolia,Edible rhizomes/pollen biomass,7a;7b;8a,1.5-3,Indefinite clonal,1200 – 6000,0.5-1.0 m,0-5,
P27,Perennial,Herb aquatic,Brunnenkresse,Watercress,Nasturtium officinale,Perennial greens clean flowing water,7a;7b;8a,0.1-0.3,Indefinite clonal,55 – 220,0.2-0.3 m,0-5,
P28,Perennial,Herb,Guter Heinrich,Good King Henry,Blitum bonus-henricus,Perennial spinach shade tolerant,7a;7b;8a,0.5-0.8,5-10,160 – 480,0.3-0.4 m,1-3,
P29,Perennial,Herb,Bärlauch,Ramsons,Allium ursinum,Early greens woodland understory,7a;7b;8a,0.2-0.4,Indefinite clonal,60 – 180,0.2-0.3 m,1-3,
P30,Perennial,Tall herb,Türkische Rauke,Turkish rocket,Bunias orientalis,Perennial shoots drought hardy,7a;7b;8a,0.6-1.2,5-10,300 – 900,0.5-0.7 m,1-3,
P31,Perennial,Herb,Französischer Sauerampfer,French sorrel,Rumex acetosa,Perennial salad early season,7a;7b;8a,0.3-0.6,Indefinite clonal,110 – 220,0.3-0.4 m,1-3,
P32,Perennial,Herb,Wilde Rauke ausdauernd,Perennial arugula,Diplotaxis tenuifolia,Perennial greens drought tolerant,7a;7b;8a,0.3-0.5,Several years,125 – 375,0.3-0.4 m,1-3,
P33,Perennial,Tall herb,Taglilie,Daylily,Hemerocallis fulva,Edible buds/flowers robust,7a;7b;8a,0.6-1.0,Indefinite clonal,300 – 900,0.5-0.7 m,1-3,
P34,Perennial,Herb,Hosta Funkie,Hosta,Hosta spp.,Edible spring shoots shade cover,7a;7b;8a,0.4-0.8,Indefinite clonal,125 – 375,0.4-0.6 m,1-3,
P35,Perennial,Tall herb,Udo Japanischer Spikenard,Japanese spikenard,Aralia cordata,Edible shoots semi-shade,7a;7b;8a,1.5-2.5,5-10,250 – 750,0.8-1.2 m,1-3,
P36,Perennial,Herb geophyte,Schwarzwurzel mehrjährig,Black salsify,Scorzonera hispanica,Edible roots and leaves,7a;7b;8a,0.6-1.0,Perennial if left,410 – 1640,0.25-0.3 m,1-3,
P37,Perennial,Herb,Zichorie Chicorée,Chicory,Cichorium intybus,Roots coffee; blanched leaves; pollinator,7a;7b;8a,0.5-1.0,Perennial,720 – 2160,Saat breit oder Reihen,1-3,
P38,Perennial,Climber/liana,Schisandra,Five-flavor berry,Schisandra chinensis,Climber fruit shade tolerant,7a;7b;8a,6-10 climber,20-40,1000 – 2500,2-3 m,1-3,
P39,Perennial,Climber/liana,Akebie Schokoladenwein,Chocolate vine,Akebia quinata,Climber fruit robust prune,7a;7b;8a,6-10 climber,20-40,830 – 2490,2-3 m,1-3,
P40,Perennial,Wetland herb geophyte,Pfeilkraut,Arrowhead,Sagittaria latifolia,Edible tubers pond shallows,7a;7b;8a,0.5-1.0,Indefinite clonal,400 – 1600,0.5-1.0 m,1-3,
P41,Perennial,Aquatic rhizome,Lotos,Lotus,Nelumbo nucifera,Edible rhizomes warm pond only,8a,1-2 über Wasser,Perennial rhizomes,1600 – 6400,1-2 m Radius,0-1,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Indianernessel,,,,,,,,,,
